Smoothie Name,Ingredients,Image Filename,Notes
Ultimate Immunity Hero,"Orange, Ginger, Camu Camu, Turmeric",ultimate_immunity_hero.webp,
Vitamin C Nuclear Bomb,"Acerola Cherry, Lemon, Kiwi, Manuka Honey",vitaminc_nuclear_bomb.webp,
Adaptogen Calm Hero,"Ashwagandha, Almond Milk, Blueberries, Oats",adaptogen_calm_hero.webp,
Brain & Focus Hero,"Matcha, Lion's Mane, Banana, Coconut Water",brain_and_focus_hero.webp,
Energy & Stamina Hero,"Maca Root, Raw Cacao, Dates, Peanut Butter",energy_stamina_hero.webp,
Gut Healing Hero,"Papaya, Aloe Vera, Flaxseed, Kefir",gut_healing_hero.webp,
Anti-Inflammatory Hero,"Pineapple, Curcumin, Black Pepper, Chia Seeds",anti_inflammatory_hero.webp,
Beauty & Glow Hero,"Strawberries, Collagen Peptides, Avocado, Spinach",beauty_and_glow_hero.webp,
Deep Sleep & Recovery Hero,"Tart Cherry, Lavender, Magnesium, Oat Milk",deep_sleep_and_recovery_hero.webp,
Antioxidant God Mode,"Acai, Goji Berries, Pomegranate, Dark Chocolate",anti_oxidant_god_mode.webp,
Apple Ginger Soothe,"Red Apple, Ginger, Cinnamon, Warm Water",apple_ginger_soothe.webp,
Ashwagandha Calm,"Ashwagandha, Banana, Cacao, Almond Milk",ashwagandha_calm.webp,
Golden Anti-Inflammatory,"Turmeric, Mango, Carrot, Coconut Oil",golden_anti_inflammatory.webp,
Cherry Beet Recovery,"Beetroot, Cherry, Spinach, Water",cherry_beet_recovery.webp,
Mangosteen Relief,"Mangosteen, Pineapple, Mint, Coconut Water",mangosteen_relief.webp,
Acai Beauty Bowl,"Acai Base, Blueberries, Collagen, Almond Milk",acai_beauty_bowl.webp,
Sea Buckthorn Glow,"Sea Buckthorn Juice, Orange, Carrot, Ginger",sea_buckthorn_glow.webp,
Maqui Radiance,"Maqui Berry Powder, Banana, Spinach, Oat Milk",maqui_radiance.webp,
Heart Protector,"Pomegranate, Strawberries, Chia Seeds, Water",heart_protector.webp,
Beet Berry Heart,"Beetroot, Raspberries, Walnuts, Almond Milk",beet_berry_heart.webp,
Deep Detox,"Cilantro, Green Apple, Lemon, Cucumber",deep_detox.webp,
Alkaline King,"Kale, Broccoli, Pineapple",alkaline_king.webp,
Androgenic Peak,"Mango, Coconut, Pine Pollen",androgenic_peak.webp,
Anti Viral Star,"Pear, Kiwi, Star Anise",anti_viral_star.webp,
Black Seed Cure,"Elderberry, Blueberries, Black Seed Oil",black_seed_cure.webp,
Camu Camu Titan,"Guava, Strawberries, Camu-Camu",camu_camu_titan.webp,
Cherry Reishi Dream,"Acai, Goji Berries, Reishi",cherry_reishi_dream.webp,
Deep Sea Mineral,"Sea Moss, Pineapple, Bladderwrack",deep_sea_mineral.webp,
Digestive Star,"Papaya, Ginger, Star Anise",digestive_star.webp,
Electric Violet,"Black Goji, Haskap Berry, Grapes",electric_violet.webp,
Goji Zen,"Black Goji, Blackberries, Vanilla Bean",goji_zen.webp,
Golden Shield,"Pineapple, Turmeric, Black Pepper",golden_shield.webp,
Green Matcha Surge,"Matcha, Spinach, Mango",green_matcha_surge.webp,
Heavy Metal Cleanse,"Chlorella, Green Apple, Lemon, Cilantro",heavy_metal_cleanse.webp,
Himalayan Resin,"Banana, Shilajit, Peanut Butter, Mesquite",himalayan_resin.webp,
Jackfruit Fuel,"Jackfruit, Goji Berries, Mango",jackfruit_fuel.webp,
Kiwi Cleanse,"Kiwi, Apple, Flaxseed",kiwi_cleanse.webp,
Lucuma Power,"Lucuma, Cashew, Dates",lucuma_power.webp,
Mesozoic Fiber,"Fig, Plum, Psyllium",mesozoic_fiber.webp,
Omega 7 Radiance,"Sea Buckthorn, Mango, Avocado, Orange",omega_7_radiance.webp,
Papaya Digestive,"Papaya, Lime, Ginger",papaya_digestive.webp,
Prickly Gut Reset,"Prickly Pear, Watermelon, Aloe",prickly_gut_reset.webp,
Saffron Sun,"Apricot, Papaya, Saffron",saffron_sun.webp,
Shatavari Bloom,"Apricot, Carrot, Nectarine, Flaxseeds",shatavari_bloom.webp,
Star Defense,"Starfruit, Lemon, Cucumber",star_defense.webp,
Telomere Tonic,"Goji Berries, Spinach, Blueberries",telomere_tonic.webp,
The Empress Glow,"Peach, Coconut, Tremella, Pearl",the_empress_glow.webp,
The Five Flavour Runner,"Beetroot, Watermelon, Lime, Schisandra",the_five_flavour_runner.webp,
The Fluid Flush,"Celery, Cucumber, Lime, Dandelion",the_fluid_flush.webp,
The Great Wall,"Ginger, Lemon, Astragalus",the_great_wall.webp,
Tremella Dew,"Aloe, Honeydew, Cucumber, Tremella",tremella_dew.webp,
Viking Focus,"Matcha, Haskap Berry, Green Apple",viking_focus.webp,
White Pearl Zen,"Lychee, Banana, Pearl",white_pearl_zen.webp,
